Order ID,Order Date,Customer ID,Product ID,Location_ID,Sales,Profit,Quantity,Discount
CA-2012-124891,2012-07-31,RH-19495,TEC-AC-10003033,1,2309.65,762.1845,7,0.0
IN-2013-77878,2013-02-05,JR-16210,FUR-CH-10003950,2,3709.395,-288.765,9,0.1
IN-2013-71249,2013-10-17,CR-12730,TEC-PH-10004664,3,5175.171,919.971,9,0.1
ES-2013-1579342,2013-01-28,KM-16375,TEC-PH-10004583,4,2892.51,-96.54,5,0.1
SG-2013-4320,2013-11-05,RH-9495,TEC-SHA-10000501,5,2832.96,311.52,8,0.0
IN-2013-42360,2013-06-28,JM-15655,TEC-PH-10000030,6,2862.675,763.275,5,0.1
IN-2011-81826,2011-11-07,TS-21340,FUR-CH-10004050,7,1822.08,564.84,4,0.0
IN-2012-86369,2012-04-14,MB-18085,FUR-TA-10002958,8,5244.84,996.48,6,0.0
CA-2014-135909,2014-10-14,JW-15220,OFF-BI-10003527,9,5083.96,1906.485,5,0.2
CA-2012-116638,2012-01-28,JH-15985,FUR-TA-10000198,10,4297.644,-1862.3124,13,0.4
CA-2011-102988,2011-04-05,GM-14695,OFF-SU-10002881,11,4164.05,83.281,5,0.0
ID-2012-28402,2012-04-19,AJ-10780,FUR-TA-10001889,12,4626.15,647.55,5,0.0
SA-2011-1830,2011-12-27,MM-7260,TEC-CIS-10001717,13,2616.96,1151.4,4,0.0
MX-2012-130015,2012-11-13,VF-21715,FUR-CH-10002033,14,2221.8,622.02,7,0.0
IN-2013-73951,2013-06-06,PF-19120,OFF-AP-10003500,15,3701.52,1036.08,12,0.0
ES-2014-5099955,2014-07-31,BP-11185,OFF-AP-10000423,16,1869.588,186.948,4,0.1
CA-2014-143567,2014-11-03,TB-21175,TEC-AC-10004145,17,2249.91,517.4793,9,0.0
ES-2014-1651774,2014-09-08,PJ-18835,OFF-AP-10004512,18,7958.58,3979.08,14,0.0
IN-2014-11763,2014-01-31,JS-15685,TEC-CO-10000865,19,2565.594,28.404,9,0.1
TZ-2014-8190,2014-12-05,RH-9555,OFF-KIT-10004058,20,3409.74,818.28,6,0.0
PL-2012-7820,2012-08-08,AB-600,FUR-HON-10000224,21,1977.72,276.84,4,0.0
CA-2011-154627,2011-10-29,SA-20830,TEC-PH-10001363,22,2735.952,341.994,6,0.2
IN-2011-44803,2011-05-02,JK-15325,FUR-CH-10000027,23,2754.0,358.02,6,0.0
ES-2013-2860574,2013-02-27,LB-16795,OFF-AP-10003590,24,5273.7,1898.4,10,0.0
US-2014-133193,2014-07-31,NP-18325,TEC-PH-10004182,25,1713.84,445.52,4,0.0
MX-2014-165309,2014-09-05,VD-21670,FUR-TA-10002827,26,2106.496,526.496,8,0.2
IN-2011-10286,2011-12-17,PB-19210,FUR-TA-10004744,27,1715.16,720.36,2,0.0
ES-2011-4699764,2011-03-14,EB-14110,OFF-AP-10004512,28,3069.738,1364.238,6,0.1
CA-2013-159016,2013-03-11,KF-16285,TEC-PH-10002885,29,4158.912,363.9048,8,0.2
IN-2012-44810,2012-02-25,BP-11230,FUR-CH-10001415,30,1878.72,582.36,4,0.0
US-2011-128776,2011-12-28,RR-19525,TEC-PH-10002815,31,1696.64,-148.46,5,0.2
ES-2012-5870268,2012-07-17,BS-11365,TEC-MA-10000161,32,2402.865,763.155,9,0.15
CA-2012-139731,2012-10-15,JE-15745,FUR-CH-10002024,33,2453.43,-350.49,5,0.3
IN-2011-28087,2011-11-03,DP-13105,OFF-AP-10004246,34,2526.93,561.48,5,0.1
CA-2011-168494,2011-12-12,NP-18700,FUR-TA-10003473,35,3610.848,135.4068,12,0.2
CG-2011-8610,2011-09-14,AH-30,TEC-APP-10000308,36,3817.26,1068.66,6,0.0
CA-2011-160766,2011-09-14,DM-13015,TEC-MA-10003979,1,2799.96,1371.9804,4,0.0
US-2014-168116,2014-11-05,GT-14635,TEC-MA-10004125,37,7999.98,-3839.9904,4,0.5
ES-2014-2637201,2014-01-14,PO-18865,TEC-CO-10000013,38,4141.02,1697.67,13,0.0
IN-2011-61302,2011-01-10,DL-12865,TEC-PH-10004664,3,2875.095,511.095,5,0.1
ID-2013-63976,2013-08-22,JB-16000,TEC-PH-10000499,39,3200.5962,-77.2038,6,0.17
IN-2014-37320,2014-11-11,BF-11005,TEC-PH-10003856,40,4518.78,632.52,7,0.0
IN-2014-76016,2014-09-26,VG-21805,FUR-BO-10004852,41,5667.87,2097.03,13,0.0
ES-2012-5877219,2012-12-13,GT-14710,TEC-PH-10004583,42,5785.02,404.73,9,0.0
IT-2011-3183678,2011-09-23,ZC-21910,OFF-AP-10000486,4,3018.624,377.244,7,0.2
CA-2011-116904,2011-09-23,SC-20095,OFF-BI-10001120,43,9449.95,4630.4755,5,0.0
IT-2013-3085011,2013-03-08,EB-13840,FUR-CH-10003365,44,2092.5,720.75,5,0.1
IN-2014-50473,2014-08-28,AP-10915,FUR-CH-10000602,45,2761.2,110.34,6,0.0
IN-2014-35983,2014-05-01,SW-20275,TEC-MA-10002680,46,2174.13,500.01,7,0.0
MX-2014-126984,2014-12-18,JH-15820,FUR-CH-10000891,47,3473.14,868.12,11,0.0
US-2012-163825,2012-06-16,LC-16885,OFF-BI-10003527,1,3050.376,1143.891,3,0.2
IR-2014-8540,2014-09-18,TG-11640,TEC-CAN-10003392,48,2108.64,527.04,8,0.0
US-2014-135013,2014-07-25,HR-14830,TEC-CO-10001449,49,2399.96,839.986,5,0.2
IN-2011-10286,2011-12-17,PB-19210,FUR-BO-10001372,27,2197.5,153.75,5,0.0
MZ-2013-3690,2013-12-18,DG-3300,TEC-MOT-10002272,50,2582.16,593.88,4,0.0
IN-2012-66342,2012-05-30,SG-20470,TEC-CO-10004997,51,1526.52,732.72,4,0.0
CA-2012-111829,2012-03-19,FH-14365,TEC-CO-10001766,52,3149.93,1480.4671,7,0.0
IN-2012-48240,2012-05-25,GP-14740,FUR-TA-10000226,53,1745.34,226.86,2,0.0
IN-2014-61792,2014-08-05,MW-18220,OFF-AP-10002244,54,4191.507,1164.267,9,0.1
CA-2014-129021,2014-08-24,PO-18850,TEC-PH-10001459,55,4367.896,327.5922,13,0.2
IN-2014-75470,2014-03-11,CS-12460,FUR-BO-10001073,56,3063.27,581.91,7,0.0
CA-2012-114811,2012-11-08,KD-16495,TEC-MA-10000045,1,4643.8,2229.024,4,0.0
ES-2014-4673578,2014-08-11,MS-17980,TEC-PH-10002035,57,4473.0,313.11,7,0.0
IT-2013-3376681,2013-08-31,KC-16675,TEC-PH-10002565,58,1502.01,225.18,9,0.0
IN-2014-66615,2014-01-18,DB-13405,FUR-CH-10000027,59,5049.0,656.37,11,0.0
CA-2013-143805,2013-12-02,JD-15895,OFF-AP-10002945,60,2104.55,694.5015,7,0.0
IT-2014-4540740,2014-12-07,DK-13090,FUR-BO-10004999,61,2188.05,1050.15,5,0.0
IN-2014-11231,2014-12-16,CS-11845,FUR-TA-10001205,62,1920.36,652.92,4,0.0
MX-2014-154907,2014-11-20,EM-14200,TEC-PH-10004196,63,1704.0,119.28,4,0.0
UP-2011-8610,2011-11-09,DW-3480,FUR-CHR-10001018,64,1858.68,130.08,4,0.0
IN-2013-40050,2013-06-07,AS-10225,FUR-CH-10003232,65,3298.26,1055.25,7,0.0
MX-2011-110275,2011-11-22,ST-20530,OFF-AP-10001630,66,2443.48,121.94,13,0.0
CG-2013-6110,2013-03-29,BW-1065,FUR-HAR-10002873,67,3808.8,1523.52,8,0.0
IN-2014-30110,2014-08-26,LA-16780,FUR-TA-10000687,68,3427.1496,-452.8104,7,0.47
ES-2012-2058076,2012-09-20,AB-10150,TEC-PH-10004505,69,3441.69,38.07,6,0.1
IN-2014-51950,2014-05-16,JH-15820,TEC-PH-10002683,70,2863.35,858.9,5,0.1
CA-2012-145352,2012-03-16,CM-12385,OFF-BI-10003527,71,6354.95,3177.475,5,0.0
ES-2013-4670866,2013-11-24,BE-11410,TEC-CO-10002269,72,1487.4,728.7,10,0.0
IN-2011-62506,2011-11-09,SZ-20035,TEC-CO-10002526,73,3200.04,1183.95,9,0.0
IN-2011-46413,2011-10-28,RM-19375,FUR-CH-10000602,74,2301.0,91.95,5,0.0
ES-2014-3785216,2014-11-19,HG-14845,FUR-CH-10002891,75,5729.346,63.546,14,0.1
MO-2014-2000,2014-10-28,DP-3105,TEC-CAN-10001437,76,5301.24,2597.28,14,0.0
CA-2014-138289,2014-01-17,AR-10540,OFF-BI-10004995,77,5443.96,2504.2216,4,0.0
CA-2014-118892,2014-08-18,TP-21415,FUR-CH-10002024,78,4416.174,-630.882,9,0.3
ES-2013-1434123,2013-01-29,JB-16000,TEC-PH-10004327,79,3219.9,965.85,5,0.0
ID-2012-78207,2012-09-18,AM-10705,OFF-AP-10001621,80,2487.8088,-269.7912,6,0.17
MO-2013-8630,2013-11-23,AB-255,OFF-HOO-10001881,81,2266.44,113.28,4,0.0
IN-2012-64774,2012-06-13,RP-19270,TEC-CO-10001954,6,3068.361,1124.901,9,0.1
IN-2013-48765,2013-10-28,BK-11260,FUR-BO-10003282,82,3728.43,1192.86,9,0.0
IN-2013-69730,2013-12-12,JM-15250,TEC-CO-10003102,23,1581.48,0.0,6,0.0
IN-2012-48240,2012-05-25,GP-14740,TEC-PH-10004664,53,1916.73,498.33,3,0.0
US-2013-102239,2013-05-06,LW-16990,FUR-TA-10003392,83,1685.88,320.3172,6,0.0
ES-2013-3467296,2013-12-02,NZ-18565,OFF-AP-10002552,16,2432.16,513.36,5,0.1
CA-2014-6550,2014-12-23,SV-10815,TEC-MOT-10000554,84,3863.88,1159.02,6,0.0
ID-2013-25742,2013-01-28,SC-20695,FUR-CH-10001415,85,2465.82,197.19,7,0.25
IN-2012-86698,2012-05-07,NC-18625,FUR-TA-10003627,86,1847.52,738.96,2,0.0
ES-2013-2903666,2013-11-27,NF-18385,FUR-BO-10001133,87,2899.89,927.78,7,0.0
IN-2012-30446,2012-11-28,NZ-18565,FUR-CH-10000027,88,2891.7,96.39,7,0.1
IT-2012-1779015,2012-09-29,PM-18940,TEC-MA-10003515,89,2016.846,-0.054,9,0.15
ES-2013-3903130,2013-09-03,MZ-17335,OFF-AP-10002904,90,3155.544,34.944,7,0.1
CG-2013-3470,2013-07-26,HM-4980,TEC-MOT-10003348,91,3856.14,1465.2,6,0.0
IN-2014-13639,2014-11-19,RW-19540,TEC-PH-10001990,92,3524.472,861.372,6,0.1
ES-2012-2510515,2012-06-19,LH-17155,TEC-PH-10002898,93,2167.296,790.416,4,0.15
MX-2012-153157,2012-10-11,FH-14365,TEC-PH-10004196,94,2556.0,178.92,6,0.0
ES-2011-2585328,2011-08-09,KM-16660,TEC-CO-10001633,95,1469.25,308.4,5,0.0
ES-2011-4500805,2011-11-05,PO-18865,TEC-PH-10002623,96,4448.832,1517.712,8,0.15
CA-2014-107174,2014-11-07,AB-10060,FUR-TA-10004575,52,2036.86,366.6348,7,0.0
MX-2013-113824,2013-04-26,AB-10060,FUR-BO-10001498,97,2472.66,914.76,9,0.0
IN-2013-45076,2013-12-26,DB-13060,OFF-AP-10003598,34,3739.176,747.816,8,0.1
IT-2013-5208514,2013-03-13,VM-21685,FUR-CH-10001582,98,2570.865,-2211.165,11,0.5
US-2013-107440,2013-04-17,BS-11365,TEC-MA-10001047,99,9099.93,2365.9818,7,0.0
ES-2012-2314672,2012-04-05,DM-13525,TEC-PH-10000505,100,2875.77,-1783.08,9,0.5
ES-2012-4765389,2012-12-26,NM-18520,FUR-BO-10002003,101,1741.8,261.24,4,0.0
IN-2013-15368,2013-04-18,LC-16885,TEC-CO-10001775,6,1601.64,587.19,5,0.1
IN-2011-18385,2011-05-24,RO-19780,OFF-AP-10000647,102,3670.8,367.08,7,0.0
CA-2012-149846,2012-05-22,SB-20185,TEC-MA-10004002,29,2973.32,334.4985,7,0.2
ES-2013-2757712,2013-05-16,EM-14065,TEC-CO-10001926,103,1900.95,589.2,5,0.0
CA-2011-106726,2011-12-06,RS-19765,OFF-ST-10001496,29,1261.33,327.9458,7,0.0
IT-2011-1978668,2011-02-16,ON-18715,FUR-CH-10002203,104,4544.1,1868.13,11,0.1
IN-2013-63773,2013-05-31,VS-21820,FUR-BO-10001934,105,1455.12,116.4,4,0.0
IN-2013-10965,2013-10-01,CM-12115,TEC-CO-10000562,106,1943.19,258.93,6,0.1
CA-2011-145541,2011-12-14,TB-21400,TEC-MA-10001127,1,6999.96,2239.9872,4,0.0
CA-2013-117121,2013-12-18,AB-10105,OFF-BI-10000545,107,9892.74,4946.37,13,0.0
ID-2013-79432,2013-12-11,JK-15325,TEC-CO-10002035,106,1695.87,-37.83,5,0.1
